rs value	gene name
rs145071896	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181397919	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138956480	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143763960	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148155787	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142016282	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137935059	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185982898	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190842528	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143515554	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147178808	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140406190	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149287205	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144557186	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148474860	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142722615	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146543207	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183897755	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140043407	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143689150	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146802521	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140615416	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150446484	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186451388	"<dd>
<div class=""gray"">None</div>
</dd>"
rs191221893	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145364623	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149212436	"<dd>
<div class=""gray"">None</div>
</dd>"
rs182975331	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187608305	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143415188	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137905187	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192856622	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36138276	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145779552	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36171610	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141216971	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183067478	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187700366	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150766710	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192324063	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149533434	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146043645	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139973179	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143542565	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146791281	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148526391	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142885522	"<dd>
<div class=""gray"">None</div>
</dd>"
rs151085463	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141069585	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147946331	"<dd>
<div class=""gray"">None</div>
</dd>"
rs184662424	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36168477	"<dd>
<div class=""gray"">None</div>
</dd>"
rs189293627	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145740786	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138685054	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148847202	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143520954	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192649163	"<dd>
<div class=""gray"">None</div>
</dd>"
rs184269039	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148032669	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141709018	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146002211	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138740005	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117136862	"<dd>
<div class=""gray"">None</div>
</dd>"
rs189033837	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181149095	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010235	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186383122	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010237	"<dd>
<div class=""gray"">None</div>
</dd>"
rs28642208	"<dd>
<div class=""gray"">None</div>
</dd>"
rs28753402	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139271584	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150008956	"<dd>
<div class=""gray"">None</div>
</dd>"
rs28377123	"<dd>
<div class=""gray"">None</div>
</dd>"
rs28700063	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144790755	"<dd>
<div class=""gray"">None</div>
</dd>"
rs12157431	"<dd>
<div class=""gray"">None</div>
</dd>"
rs115798056	"<dd>
<div class=""gray"">None</div>
</dd>"
rs4838881	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141836402	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140137911	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150297214	"<dd>
<div class=""gray"">None</div>
</dd>"
rs12169380	"<dd>
<div class=""gray"">None</div>
</dd>"
rs116042408	"<dd>
<div class=""gray"">None</div>
</dd>"
rs73181195	"<dd>
<div class=""gray"">None</div>
</dd>"
rs7287476	"<dd>
<div class=""gray"">None</div>
</dd>"
rs115308061	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137960630	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185443365	"<dd>
<div class=""gray"">None</div>
</dd>"
rs7284790	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144746997	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010193	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010147	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146285001	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190944790	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010149	"<dd>
<div class=""gray"">None</div>
</dd>"
rs78631023	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183465146	"<dd>
<div class=""gray"">None</div>
</dd>"
rs113013106	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148061457	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185957849	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137834	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141819383	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150619530	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144752242	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147506788	"<dd>
<div class=""gray"">None</div>
</dd>"
rs191606156	"<dd>
<div class=""gray"">None</div>
</dd>"
rs7286953	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183064152	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145661166	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187958932	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192989666	"<dd>
<div class=""gray"">None</div>
</dd>"
rs182155106	"<dd>
<div class=""gray"">None</div>
</dd>"
rs7288833	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137836	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192394834	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142491424	"<dd>
<div class=""gray"">None</div>
</dd>"
rs184768084	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137837	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010227	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150936515	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188782398	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010228	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192910565	"<dd>
<div class=""gray"">None</div>
</dd>"
rs57674390	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185477939	"<dd>
<div class=""gray"">None</div>
</dd>"
rs189539187	"<dd>
<div class=""gray"">None</div>
</dd>"
rs5771304	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181500747	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185193286	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188337143	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181783097	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140316743	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137838	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186447992	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138069365	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192496762	"<dd>
<div class=""gray"">None</div>
</dd>"
rs114678509	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147496264	"<dd>
<div class=""gray"">None</div>
</dd>"
rs115635736	"<dd>
<div class=""gray"">None</div>
</dd>"
rs137839	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181691394	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187119263	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139979336	"<dd>
<div class=""gray"">None</div>
</dd>"
rs6010232	"<dd>
<div class=""gray"">None</div>
</dd>"
rs78768486	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143946806	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs6010234	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs191097623	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs150670663	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs139956750	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs6010159	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs149858927	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs182610455	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs6010238	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs186541879	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs189762102	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs76643106	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs183084045	"<dd>
<span>IL17REL : 500B Downstream Variant</span>
</dd>"
rs188770788	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs6010240	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs144884430	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs193295410	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs6010242	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs6010244	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs117874598	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs185076652	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs116798140	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs139833848	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs143266493	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs146683098	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs140297640	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs188738031	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs191656122	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs114488711	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs143536390	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs184199241	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs150991565	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs188101247	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs140875411	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs180867634	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs150178194	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs137840	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs183936138	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs139033730	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs118134358	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs142952910	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs117019417	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs6010252	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs147037913	"<dd>
<span>IL17REL : 3 Prime UTR Variant</span>
</dd>"
rs6010162	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs143924347	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs6010253	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs148779308	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs190318419	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs137841	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs141570660	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs73893109	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs182504120	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs60332599	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs186639418	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs78587085	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs150917337	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs139763617	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs191940619	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs181056184	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs185491667	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs190300288	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs182180930	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs137843	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs188009980	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs117616931	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs4838818	"<dd>
<span>IL17REL : Non Coding Transcript Variant</span>
</dd>"
rs146189883	"<dd>
<span>IL17REL : Synonymous Variant</span>
</dd>"
rs191863819	"<dd>
<span>IL17REL : Synonymous Variant</span>
</dd>"
rs184103308	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs5771069	"<dd>
<span>IL17REL : Missense Variant</span>
</dd>"
rs188202550	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs142209556	"<dd>
<span>IL17REL : Missense Variant</span>
</dd>"
rs149914294	"<dd>
<span>IL17REL : Missense Variant</span>
</dd>"
rs144997194	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs184714162	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs13054006	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs187122962	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs191888981	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs113614564	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
rs142430606	"<dd>
<span>IL17REL : Missense Variant</span>
</dd>"
rs189547612	"<dd>
<span>IL17REL : Intron Variant</span>
</dd>"
